,Tissue,Cell Type,Min mt count,Max mt count,Mean mt count,Normalized mt/total%,Age
0,Lung,lung neuroendocrine cell,31642.0,31642.0,31642,1.54,3m
1,Lung,lung neuroendocrine cell,65755.0,65755.0,65755,2.43,18m
2,Lung,lung neuroendocrine cell,8942.0,12056.0,10499,1.8,24m
3,Lung,leukocyte,3246.0,23767.0,13506,1.53,3m
4,Pancreas,leukocyte,1346.0,60665.0,13833,1.48,3m
5,Lung,leukocyte,2100.0,60036.0,32631,1.33,18m
6,Pancreas,leukocyte,65.0,270410.0,36124,1.46,18m
7,Lung,leukocyte,448.0,94244.0,22316,3.95,24m
8,Pancreas,leukocyte,420.0,81045.0,17021,1.49,24m
9,Heart,smooth muscle cell,2245.0,487762.0,57748,7.36,3m
10,Heart,smooth muscle cell,47414.0,864398.0,214455,13.5,18m
11,Heart,smooth muscle cell,3244.0,697264.0,182247,11.72,24m
12,Large_Intestine,enterocyte of epithelium of large intestine,41.0,606322.0,104091,14.65,3m
13,Large_Intestine,enterocyte of epithelium of large intestine,367.0,1015073.0,166100,12.35,18m
14,Large_Intestine,enterocyte of epithelium of large intestine,42.0,779104.0,133322,11.84,24m
15,Mammary_Gland,luminal epithelial cell of mammary gland,574.0,235605.0,26525,2.98,3m
16,Mammary_Gland,luminal epithelial cell of mammary gland,268.0,67428.0,24432,2.4,18m
17,Mammary_Gland,luminal epithelial cell of mammary gland,404.0,84713.0,17321,2.41,21m
18,Pancreas,pancreatic B cell,115.0,479974.0,36569,3.1,3m
19,Pancreas,pancreatic B cell,262.0,419475.0,67778,4.08,18m
20,Pancreas,pancreatic B cell,32.0,357156.0,28000,4.35,24m
21,Kidney,kidney interstitial fibroblast,1628.0,263462.0,74057,39.79,24m
22,Heart,atrial myocyte,1375.0,1003968.0,267762,33.56,3m
23,Heart,atrial myocyte,4296.0,3156659.0,175638,19.54,18m
24,Heart,atrial myocyte,30.0,2893896.0,388164,41.52,24m
25,Pancreas,pancreatic acinar cell,8.0,1304491.0,43534,10.78,3m
26,Pancreas,pancreatic acinar cell,4.0,696559.0,63280,6.86,18m
27,Pancreas,pancreatic acinar cell,0.0,1056917.0,17916,1.58,24m
28,Brain_Non-Myeloid,astrocyte,782.0,827935.0,34593,4.2,3m
29,Brain_Non-Myeloid,astrocyte,8436.0,590846.0,152080,8.35,18m
30,Brain_Non-Myeloid,astrocyte,245.0,501396.0,120429,8.47,24m
31,Brain_Non-Myeloid,brain pericyte,167.0,108121.0,21838,2.31,3m
32,Brain_Non-Myeloid,brain pericyte,196.0,800229.0,106867,3.53,18m
